4
0 0
10 10
0 10
10 0

10

1	5
11	5
21	5
31	5
41	5
45	5
55	5
65	5
75	5
85	5






1000

7880	7892
9904	6513
8400	3968
5307	8586
2929	1875
915	4049
3164	268
2536	9072
2324	8485
7337	8660
2362	3090
4642	3335
1056	3066
4557	6513
4898	6692
5562	8358
7896	1980
5428	8753
776	337
5158	8122
6	9702
3672	6884
6309	5568
8567	9226
1377	6161
8902	2099
2708	364
7452	132
2470	946
3336	7933
7286	5170
6778	3109
675	2841
2700	368
7311	3341
9079	633
2888	2936
8117	4314
6222	1613
1705	9981
4061	9455
9995	9367
5388	800
2202	381
2068	4892
5483	6957
6608	3542
3184	1226
4704	2806
1754	3323
8709	713
248	2396
1083	9104
3905	2957
3627	3594
9173	9535
7358	1771
878	7807
4369	6991
1026	8626
574	4370
7519	6882
5400	9640
9836	7751
587	5307
1963	75
1299	6454
3830	7344
4264	1383
9209	5980
6725	7300
8517	3501
667	7029
8368	9145
9318	5013
7202	7497
9341	7800
7288	5577
4170	9359
7971	1231
6779	704
8518	2666
8903	3964
4917	8897
477	8843
2393	4581
4534	7181
1325	9994
695	4176
763	5219
6194	1755
1927	2459
1576	2369
369	62
9498	2505
9024	5695
2799	2454
1421	2809
791	1271
2091	9169
2453	3425
6580	7156
6669	4675
5150	6525
8219	9812
6267	3215
6558	3186
2926	2737
4531	9298
1622	8287
6732	9859
4480	4135
2205	5785
8170	6943
4953	7482
9473	6551
8466	5002
6684	8840
5512	2616
4846	9822
5050	6812
2955	2364
3982	3758
1270	621
2654	4533
3403	2265
4524	3006
6369	8773
1279	7923
6181	511
3674	6502
6327	3279
4829	7102
8430	3583
7740	2834
7815	9767
6823	6065
4090	5105
4765	5091
9811	9247
9417	9902
2185	6168
4970	7614
818	4124
4939	2662
8273	1487
889	6126
3403	8143
1488	8152
1233	9794
9797	7932
6489	6225
4487	2176
4782	778
5625	4109
4123	8873
3552	1458
8832	896
5798	51
7256	2818
9945	4643
5821	6994
8368	1791
3337	149
3048	4070
6019	7920
4927	1756
7432	7983
1462	1044
1192	6641
383	8971
8119	1050
2477	8966
4301	2324
8965	79
9866	2683
4318	6343
2982	4489
7330	7586
2684	2753
4529	7603
5489	1787
3332	9096
7209	3055
8115	3652
4049	8597
7759	2348
632	9530
4515	8762
3411	4194
1311	7564
5766	9502
5458	3619
2947	6459
2607	218
2594	9974
3369	7107
66	649
8729	6817
7741	3236
8384	8911
5802	3380
615	5677
1505	4936
1488	22
962	8430
378	8612
3105	2933
9327	9612
3650	8544
955	2321
3893	1608
529	3088
4760	4675
4281	8739
9150	1063
8805	3869
8504	2449
2542	8490
7581	8637
4907	219
3600	3109
9479	9557
4724	5708
5411	2654
4689	6615
3315	3149
5819	5771
9550	1864
8055	3892
